Country_Region,Population,Weight,Date,TargetValue,Med. Age,Density (P/Km²),Urban Pop %,Week,Day,Weekday,first_infection,days_since_1st_infect
Afghanistan,27657145,0.05835873743558676,2020-02-23,0.0,18.0,60,25.0,8,23,6,2020-02-24,-1
Afghanistan,27657145,0.05835873743558676,2020-02-24,1.0,18.0,60,25.0,9,24,0,2020-02-24,0
Afghanistan,27657145,0.05835873743558676,2020-02-25,0.0,18.0,60,25.0,9,25,1,2020-02-24,1
Afghanistan,27657145,0.05835873743558676,2020-02-26,0.0,18.0,60,25.0,9,26,2,2020-02-24,2
Afghanistan,27657145,0.05835873743558676,2020-02-27,0.0,18.0,60,25.0,9,27,3,2020-02-24,3
Afghanistan,27657145,0.05835873743558676,2020-02-28,0.0,18.0,60,25.0,9,28,4,2020-02-24,4
Afghanistan,27657145,0.05835873743558676,2020-02-29,0.0,18.0,60,25.0,9,29,5,2020-02-24,5
Afghanistan,27657145,0.05835873743558676,2020-03-01,0.0,18.0,60,25.0,9,1,6,2020-02-24,6
Afghanistan,27657145,0.05835873743558676,2020-03-02,0.0,18.0,60,25.0,10,2,0,2020-02-24,7
Afghanistan,27657145,0.05835873743558676,2020-03-03,0.0,18.0,60,25.0,10,3,1,2020-02-24,8
Afghanistan,27657145,0.05835873743558676,2020-03-04,0.0,18.0,60,25.0,10,4,2,2020-02-24,9
Afghanistan,27657145,0.05835873743558676,2020-03-05,0.0,18.0,60,25.0,10,5,3,2020-02-24,10
Afghanistan,27657145,0.05835873743558676,2020-03-06,0.0,18.0,60,25.0,10,6,4,2020-02-24,11
Afghanistan,27657145,0.05835873743558676,2020-03-07,0.0,18.0,60,25.0,10,7,5,2020-02-24,12
Afghanistan,27657145,0.05835873743558676,2020-03-08,3.0,18.0,60,25.0,10,8,6,2020-02-24,13
Afghanistan,27657145,0.05835873743558676,2020-03-09,0.0,18.0,60,25.0,11,9,0,2020-02-24,14
Afghanistan,27657145,0.05835873743558676,2020-03-10,1.0,18.0,60,25.0,11,10,1,2020-02-24,15
Afghanistan,27657145,0.05835873743558676,2020-03-11,2.0,18.0,60,25.0,11,11,2,2020-02-24,16
Afghanistan,27657145,0.05835873743558676,2020-03-12,0.0,18.0,60,25.0,11,12,3,2020-02-24,17
Afghanistan,27657145,0.05835873743558676,2020-03-13,0.0,18.0,60,25.0,11,13,4,2020-02-24,18
Afghanistan,27657145,0.05835873743558676,2020-03-14,4.0,18.0,60,25.0,11,14,5,2020-02-24,19
Afghanistan,27657145,0.05835873743558676,2020-03-15,5.0,18.0,60,25.0,11,15,6,2020-02-24,20
Afghanistan,27657145,0.05835873743558676,2020-03-16,5.0,18.0,60,25.0,12,16,0,2020-02-24,21
Afghanistan,27657145,0.05835873743558676,2020-03-17,1.0,18.0,60,25.0,12,17,1,2020-02-24,22
Afghanistan,27657145,0.05835873743558676,2020-03-18,0.0,18.0,60,25.0,12,18,2,2020-02-24,23
Afghanistan,27657145,0.05835873743558676,2020-03-19,0.0,18.0,60,25.0,12,19,3,2020-02-24,24
Afghanistan,27657145,0.05835873743558676,2020-03-20,2.0,18.0,60,25.0,12,20,4,2020-02-24,25
Afghanistan,27657145,0.05835873743558676,2020-03-21,0.0,18.0,60,25.0,12,21,5,2020-02-24,26
Afghanistan,27657145,0.05835873743558676,2020-03-22,16.0,18.0,60,25.0,12,22,6,2020-02-24,27
Afghanistan,27657145,0.05835873743558676,2020-03-23,0.0,18.0,60,25.0,13,23,0,2020-02-24,28
Afghanistan,27657145,0.05835873743558676,2020-03-24,34.0,18.0,60,25.0,13,24,1,2020-02-24,29
Afghanistan,27657145,0.05835873743558676,2020-03-25,10.0,18.0,60,25.0,13,25,2,2020-02-24,30
Afghanistan,27657145,0.05835873743558676,2020-03-26,10.0,18.0,60,25.0,13,26,3,2020-02-24,31
Afghanistan,27657145,0.05835873743558676,2020-03-27,16.0,18.0,60,25.0,13,27,4,2020-02-24,32
Afghanistan,27657145,0.05835873743558676,2020-03-28,0.0,18.0,60,25.0,13,28,5,2020-02-24,33
Afghanistan,27657145,0.05835873743558676,2020-03-29,10.0,18.0,60,25.0,13,29,6,2020-02-24,34
Afghanistan,27657145,0.05835873743558676,2020-03-30,50.0,18.0,60,25.0,14,30,0,2020-02-24,35
Afghanistan,27657145,0.05835873743558676,2020-03-31,4.0,18.0,60,25.0,14,31,1,2020-02-24,36
Afghanistan,27657145,0.05835873743558676,2020-04-01,63.0,18.0,60,25.0,14,1,2,2020-02-24,37
Afghanistan,27657145,0.05835873743558676,2020-04-02,36.0,18.0,60,25.0,14,2,3,2020-02-24,38
Afghanistan,27657145,0.05835873743558676,2020-04-03,8.0,18.0,60,25.0,14,3,4,2020-02-24,39
Afghanistan,27657145,0.05835873743558676,2020-04-04,18.0,18.0,60,25.0,14,4,5,2020-02-24,40
Afghanistan,27657145,0.05835873743558676,2020-04-05,50.0,18.0,60,25.0,14,5,6,2020-02-24,41
Afghanistan,27657145,0.05835873743558676,2020-04-06,18.0,18.0,60,25.0,15,6,0,2020-02-24,42
Afghanistan,27657145,0.05835873743558676,2020-04-07,56.0,18.0,60,25.0,15,7,1,2020-02-24,43
Afghanistan,27657145,0.05835873743558676,2020-04-08,21.0,18.0,60,25.0,15,8,2,2020-02-24,44
Afghanistan,27657145,0.05835873743558676,2020-04-09,40.0,18.0,60,25.0,15,9,3,2020-02-24,45
Afghanistan,27657145,0.05835873743558676,2020-04-10,37.0,18.0,60,25.0,15,10,4,2020-02-24,46
Afghanistan,27657145,0.05835873743558676,2020-04-11,34.0,18.0,60,25.0,15,11,5,2020-02-24,47
Afghanistan,27657145,0.05835873743558676,2020-04-12,52.0,18.0,60,25.0,15,12,6,2020-02-24,48
Afghanistan,27657145,0.05835873743558676,2020-04-13,58.0,18.0,60,25.0,16,13,0,2020-02-24,49
Afghanistan,27657145,0.05835873743558676,2020-04-14,49.0,18.0,60,25.0,16,14,1,2020-02-24,50
Afghanistan,27657145,0.05835873743558676,2020-04-15,70.0,18.0,60,25.0,16,15,2,2020-02-24,51
Afghanistan,27657145,0.05835873743558676,2020-04-16,56.0,18.0,60,25.0,16,16,3,2020-02-24,52
Afghanistan,27657145,0.05835873743558676,2020-04-17,66.0,18.0,60,25.0,16,17,4,2020-02-24,53
Afghanistan,27657145,0.05835873743558676,2020-04-18,27.0,18.0,60,25.0,16,18,5,2020-02-24,54
Afghanistan,27657145,0.05835873743558676,2020-04-19,63.0,18.0,60,25.0,16,19,6,2020-02-24,55
Afghanistan,27657145,0.05835873743558676,2020-04-20,30.0,18.0,60,25.0,17,20,0,2020-02-24,56
Afghanistan,27657145,0.05835873743558676,2020-04-21,66.0,18.0,60,25.0,17,21,1,2020-02-24,57
Afghanistan,27657145,0.05835873743558676,2020-04-22,84.0,18.0,60,25.0,17,22,2,2020-02-24,58
Afghanistan,27657145,0.05835873743558676,2020-04-23,103.0,18.0,60,25.0,17,23,3,2020-02-24,59
Afghanistan,27657145,0.05835873743558676,2020-04-24,72.0,18.0,60,25.0,17,24,4,2020-02-24,60
Afghanistan,27657145,0.05835873743558676,2020-04-25,112.0,18.0,60,25.0,17,25,5,2020-02-24,61
Afghanistan,27657145,0.05835873743558676,2020-04-26,68.0,18.0,60,25.0,17,26,6,2020-02-24,62
Afghanistan,27657145,0.05835873743558676,2020-04-27,172.0,18.0,60,25.0,18,27,0,2020-02-24,63
Afghanistan,27657145,0.05835873743558676,2020-04-28,125.0,18.0,60,25.0,18,28,1,2020-02-24,64
Afghanistan,27657145,0.05835873743558676,2020-04-29,111.0,18.0,60,25.0,18,29,2,2020-02-24,65
Afghanistan,27657145,0.05835873743558676,2020-04-30,232.0,18.0,60,25.0,18,30,3,2020-02-24,66
Afghanistan,27657145,0.05835873743558676,2020-05-01,164.0,18.0,60,25.0,18,1,4,2020-02-24,67
Afghanistan,27657145,0.05835873743558676,2020-05-02,134.0,18.0,60,25.0,18,2,5,2020-02-24,68
Afghanistan,27657145,0.05835873743558676,2020-05-03,235.0,18.0,60,25.0,18,3,6,2020-02-24,69
Afghanistan,27657145,0.05835873743558676,2020-05-04,190.0,18.0,60,25.0,19,4,0,2020-02-24,70
Afghanistan,27657145,0.05835873743558676,2020-05-05,330.0,18.0,60,25.0,19,5,1,2020-02-24,71
Afghanistan,27657145,0.05835873743558676,2020-05-06,168.0,18.0,60,25.0,19,6,2,2020-02-24,72
Afghanistan,27657145,0.05835873743558676,2020-05-07,171.0,18.0,60,25.0,19,7,3,2020-02-24,73
Afghanistan,27657145,0.05835873743558676,2020-05-08,215.0,18.0,60,25.0,19,8,4,2020-02-24,74
Afghanistan,27657145,0.05835873743558676,2020-05-09,255.0,18.0,60,25.0,19,9,5,2020-02-24,75
Afghanistan,27657145,0.05835873743558676,2020-05-10,369.0,18.0,60,25.0,19,10,6,2020-02-24,76
Afghanistan,27657145,0.05835873743558676,2020-05-11,285.0,18.0,60,25.0,20,11,0,2020-02-24,77
Afghanistan,27657145,0.05835873743558676,2020-05-12,276.0,18.0,60,25.0,20,12,1,2020-02-24,78
Afghanistan,27657145,0.05835873743558676,2020-05-13,263.0,18.0,60,25.0,20,13,2,2020-02-24,79
Afghanistan,27657145,0.05835873743558676,2020-05-14,413.0,18.0,60,25.0,20,14,3,2020-02-24,80
Afghanistan,27657145,0.05835873743558676,2020-05-15,414.0,18.0,60,25.0,20,15,4,2020-02-24,81
Afghanistan,27657145,0.05835873743558676,2020-05-16,349.0,18.0,60,25.0,20,16,5,2020-02-24,82
Afghanistan,27657145,0.05835873743558676,2020-05-17,262.0,18.0,60,25.0,20,17,6,2020-02-24,83
Afghanistan,27657145,0.05835873743558676,2020-05-18,408.0,18.0,60,25.0,21,18,0,2020-02-24,84
Afghanistan,27657145,0.05835873743558676,2020-05-19,581.0,18.0,60,25.0,21,19,1,2020-02-24,85
Afghanistan,27657145,0.05835873743558676,2020-05-20,492.0,18.0,60,25.0,21,20,2,2020-02-24,86
Afghanistan,27657145,0.05835873743558676,2020-05-21,531.0,18.0,60,25.0,21,21,3,2020-02-24,87
Afghanistan,27657145,0.05835873743558676,2020-05-22,540.0,18.0,60,25.0,21,22,4,2020-02-24,88
Afghanistan,27657145,0.05835873743558676,2020-05-23,782.0,18.0,60,25.0,21,23,5,2020-02-24,89
Afghanistan,27657145,0.05835873743558676,2020-05-24,584.0,18.0,60,25.0,21,24,6,2020-02-24,90
Afghanistan,27657145,0.05835873743558676,2020-05-25,591.0,18.0,60,25.0,22,25,0,2020-02-24,91
Afghanistan,27657145,0.05835873743558676,2020-05-26,658.0,18.0,60,25.0,22,26,1,2020-02-24,92
Afghanistan,27657145,0.05835873743558676,2020-05-27,625.0,18.0,60,25.0,22,27,2,2020-02-24,93
Afghanistan,27657145,0.05835873743558676,2020-05-28,580.0,18.0,60,25.0,22,28,3,2020-02-24,94
Afghanistan,27657145,0.05835873743558676,2020-05-29,623.0,18.0,60,25.0,22,29,4,2020-02-24,95
Afghanistan,27657145,0.05835873743558676,2020-05-30,866.0,18.0,60,25.0,22,30,5,2020-02-24,96
Afghanistan,27657145,0.05835873743558676,2020-05-31,680.0,18.0,60,25.0,22,31,6,2020-02-24,97
Afghanistan,27657145,0.05835873743558676,2020-06-01,545.0,18.0,60,25.0,23,1,0,2020-02-24,98
Afghanistan,27657145,0.05835873743558676,2020-06-02,759.0,18.0,60,25.0,23,2,1,2020-02-24,99
Albania,2886026,0.06722512200670826,2020-01-23,0.0,36.0,105,63.0,4,23,3,2020-03-09,-46
Albania,2886026,0.06722512200670826,2020-01-24,0.0,36.0,105,63.0,4,24,4,2020-03-09,-45
Albania,2886026,0.06722512200670826,2020-01-25,0.0,36.0,105,63.0,4,25,5,2020-03-09,-44
Albania,2886026,0.06722512200670826,2020-01-26,0.0,36.0,105,63.0,4,26,6,2020-03-09,-43
Albania,2886026,0.06722512200670826,2020-01-27,0.0,36.0,105,63.0,5,27,0,2020-03-09,-42
Albania,2886026,0.06722512200670826,2020-01-28,0.0,36.0,105,63.0,5,28,1,2020-03-09,-41
Albania,2886026,0.06722512200670826,2020-01-29,0.0,36.0,105,63.0,5,29,2,2020-03-09,-40
Albania,2886026,0.06722512200670826,2020-01-30,0.0,36.0,105,63.0,5,30,3,2020-03-09,-39
Albania,2886026,0.06722512200670826,2020-01-31,0.0,36.0,105,63.0,5,31,4,2020-03-09,-38
Albania,2886026,0.06722512200670826,2020-02-01,0.0,36.0,105,63.0,5,1,5,2020-03-09,-37
Albania,2886026,0.06722512200670826,2020-02-02,0.0,36.0,105,63.0,5,2,6,2020-03-09,-36
Albania,2886026,0.06722512200670826,2020-02-03,0.0,36.0,105,63.0,6,3,0,2020-03-09,-35
Albania,2886026,0.06722512200670826,2020-02-04,0.0,36.0,105,63.0,6,4,1,2020-03-09,-34
Albania,2886026,0.06722512200670826,2020-02-05,0.0,36.0,105,63.0,6,5,2,2020-03-09,-33
Albania,2886026,0.06722512200670826,2020-02-06,0.0,36.0,105,63.0,6,6,3,2020-03-09,-32
Albania,2886026,0.06722512200670826,2020-02-07,0.0,36.0,105,63.0,6,7,4,2020-03-09,-31
Albania,2886026,0.06722512200670826,2020-02-08,0.0,36.0,105,63.0,6,8,5,2020-03-09,-30
Albania,2886026,0.06722512200670826,2020-02-09,0.0,36.0,105,63.0,6,9,6,2020-03-09,-29
Albania,2886026,0.06722512200670826,2020-02-10,0.0,36.0,105,63.0,7,10,0,2020-03-09,-28
Albania,2886026,0.06722512200670826,2020-02-11,0.0,36.0,105,63.0,7,11,1,2020-03-09,-27
Albania,2886026,0.06722512200670826,2020-02-12,0.0,36.0,105,63.0,7,12,2,2020-03-09,-26
Albania,2886026,0.06722512200670826,2020-02-13,0.0,36.0,105,63.0,7,13,3,2020-03-09,-25
Albania,2886026,0.06722512200670826,2020-02-14,0.0,36.0,105,63.0,7,14,4,2020-03-09,-24
Albania,2886026,0.06722512200670826,2020-02-15,0.0,36.0,105,63.0,7,15,5,2020-03-09,-23
Albania,2886026,0.06722512200670826,2020-02-16,0.0,36.0,105,63.0,7,16,6,2020-03-09,-22
Albania,2886026,0.06722512200670826,2020-02-17,0.0,36.0,105,63.0,8,17,0,2020-03-09,-21
Albania,2886026,0.06722512200670826,2020-02-18,0.0,36.0,105,63.0,8,18,1,2020-03-09,-20
Albania,2886026,0.06722512200670826,2020-02-19,0.0,36.0,105,63.0,8,19,2,2020-03-09,-19
Albania,2886026,0.06722512200670826,2020-02-20,0.0,36.0,105,63.0,8,20,3,2020-03-09,-18
Albania,2886026,0.06722512200670826,2020-02-21,0.0,36.0,105,63.0,8,21,4,2020-03-09,-17
Albania,2886026,0.06722512200670826,2020-02-22,0.0,36.0,105,63.0,8,22,5,2020-03-09,-16
Albania,2886026,0.06722512200670826,2020-02-23,0.0,36.0,105,63.0,8,23,6,2020-03-09,-15
Albania,2886026,0.06722512200670826,2020-02-24,0.0,36.0,105,63.0,9,24,0,2020-03-09,-14
Albania,2886026,0.06722512200670826,2020-02-25,0.0,36.0,105,63.0,9,25,1,2020-03-09,-13
Albania,2886026,0.06722512200670826,2020-02-26,0.0,36.0,105,63.0,9,26,2,2020-03-09,-12
Albania,2886026,0.06722512200670826,2020-02-27,0.0,36.0,105,63.0,9,27,3,2020-03-09,-11
Albania,2886026,0.06722512200670826,2020-02-28,0.0,36.0,105,63.0,9,28,4,2020-03-09,-10
Albania,2886026,0.06722512200670826,2020-02-29,0.0,36.0,105,63.0,9,29,5,2020-03-09,-9
Albania,2886026,0.06722512200670826,2020-03-01,0.0,36.0,105,63.0,9,1,6,2020-03-09,-8
Albania,2886026,0.06722512200670826,2020-03-02,0.0,36.0,105,63.0,10,2,0,2020-03-09,-7
Albania,2886026,0.06722512200670826,2020-03-03,0.0,36.0,105,63.0,10,3,1,2020-03-09,-6
Albania,2886026,0.06722512200670826,2020-03-04,0.0,36.0,105,63.0,10,4,2,2020-03-09,-5
Albania,2886026,0.06722512200670826,2020-03-05,0.0,36.0,105,63.0,10,5,3,2020-03-09,-4
Albania,2886026,0.06722512200670826,2020-03-06,0.0,36.0,105,63.0,10,6,4,2020-03-09,-3
Albania,2886026,0.06722512200670826,2020-03-07,0.0,36.0,105,63.0,10,7,5,2020-03-09,-2
Albania,2886026,0.06722512200670826,2020-03-08,0.0,36.0,105,63.0,10,8,6,2020-03-09,-1
Albania,2886026,0.06722512200670826,2020-03-09,2.0,36.0,105,63.0,11,9,0,2020-03-09,0
Albania,2886026,0.06722512200670826,2020-03-10,8.0,36.0,105,63.0,11,10,1,2020-03-09,1
Albania,2886026,0.06722512200670826,2020-03-11,2.0,36.0,105,63.0,11,11,2,2020-03-09,2
Albania,2886026,0.06722512200670826,2020-03-12,11.0,36.0,105,63.0,11,12,3,2020-03-09,3
Albania,2886026,0.06722512200670826,2020-03-13,10.0,36.0,105,63.0,11,13,4,2020-03-09,4
Albania,2886026,0.06722512200670826,2020-03-14,5.0,36.0,105,63.0,11,14,5,2020-03-09,5
Albania,2886026,0.06722512200670826,2020-03-15,4.0,36.0,105,63.0,11,15,6,2020-03-09,6
Albania,2886026,0.06722512200670826,2020-03-16,9.0,36.0,105,63.0,12,16,0,2020-03-09,7
Albania,2886026,0.06722512200670826,2020-03-17,4.0,36.0,105,63.0,12,17,1,2020-03-09,8
Albania,2886026,0.06722512200670826,2020-03-18,4.0,36.0,105,63.0,12,18,2,2020-03-09,9
Albania,2886026,0.06722512200670826,2020-03-19,5.0,36.0,105,63.0,12,19,3,2020-03-09,10
Albania,2886026,0.06722512200670826,2020-03-20,6.0,36.0,105,63.0,12,20,4,2020-03-09,11
Albania,2886026,0.06722512200670826,2020-03-21,6.0,36.0,105,63.0,12,21,5,2020-03-09,12
Albania,2886026,0.06722512200670826,2020-03-22,13.0,36.0,105,63.0,12,22,6,2020-03-09,13
Albania,2886026,0.06722512200670826,2020-03-23,15.0,36.0,105,63.0,13,23,0,2020-03-09,14
Albania,2886026,0.06722512200670826,2020-03-24,19.0,36.0,105,63.0,13,24,1,2020-03-09,15
Albania,2886026,0.06722512200670826,2020-03-25,23.0,36.0,105,63.0,13,25,2,2020-03-09,16
Albania,2886026,0.06722512200670826,2020-03-26,28.0,36.0,105,63.0,13,26,3,2020-03-09,17
Albania,2886026,0.06722512200670826,2020-03-27,12.0,36.0,105,63.0,13,27,4,2020-03-09,18
Albania,2886026,0.06722512200670826,2020-03-28,11.0,36.0,105,63.0,13,28,5,2020-03-09,19
Albania,2886026,0.06722512200670826,2020-03-29,15.0,36.0,105,63.0,13,29,6,2020-03-09,20
Albania,2886026,0.06722512200670826,2020-03-30,11.0,36.0,105,63.0,14,30,0,2020-03-09,21
Albania,2886026,0.06722512200670826,2020-03-31,20.0,36.0,105,63.0,14,31,1,2020-03-09,22
Albania,2886026,0.06722512200670826,2020-04-01,16.0,36.0,105,63.0,14,1,2,2020-03-09,23
Albania,2886026,0.06722512200670826,2020-04-02,18.0,36.0,105,63.0,14,2,3,2020-03-09,24
Albania,2886026,0.06722512200670826,2020-04-03,27.0,36.0,105,63.0,14,3,4,2020-03-09,25
Albania,2886026,0.06722512200670826,2020-04-04,29.0,36.0,105,63.0,14,4,5,2020-03-09,26
Albania,2886026,0.06722512200670826,2020-04-05,28.0,36.0,105,63.0,14,5,6,2020-03-09,27
Albania,2886026,0.06722512200670826,2020-04-06,16.0,36.0,105,63.0,15,6,0,2020-03-09,28
Albania,2886026,0.06722512200670826,2020-04-07,6.0,36.0,105,63.0,15,7,1,2020-03-09,29
Albania,2886026,0.06722512200670826,2020-04-08,17.0,36.0,105,63.0,15,8,2,2020-03-09,30
Albania,2886026,0.06722512200670826,2020-04-09,9.0,36.0,105,63.0,15,9,3,2020-03-09,31
Albania,2886026,0.06722512200670826,2020-04-10,7.0,36.0,105,63.0,15,10,4,2020-03-09,32
Albania,2886026,0.06722512200670826,2020-04-11,17.0,36.0,105,63.0,15,11,5,2020-03-09,33
Albania,2886026,0.06722512200670826,2020-04-12,13.0,36.0,105,63.0,15,12,6,2020-03-09,34
Albania,2886026,0.06722512200670826,2020-04-13,21.0,36.0,105,63.0,16,13,0,2020-03-09,35
Albania,2886026,0.06722512200670826,2020-04-14,8.0,36.0,105,63.0,16,14,1,2020-03-09,36
Albania,2886026,0.06722512200670826,2020-04-15,19.0,36.0,105,63.0,16,15,2,2020-03-09,37
Albania,2886026,0.06722512200670826,2020-04-16,24.0,36.0,105,63.0,16,16,3,2020-03-09,38
Albania,2886026,0.06722512200670826,2020-04-17,21.0,36.0,105,63.0,16,17,4,2020-03-09,39
Albania,2886026,0.06722512200670826,2020-04-18,9.0,36.0,105,63.0,16,18,5,2020-03-09,40
Albania,2886026,0.06722512200670826,2020-04-19,14.0,36.0,105,63.0,16,19,6,2020-03-09,41
Albania,2886026,0.06722512200670826,2020-04-20,22.0,36.0,105,63.0,17,20,0,2020-03-09,42
Albania,2886026,0.06722512200670826,2020-04-21,25.0,36.0,105,63.0,17,21,1,2020-03-09,43
Albania,2886026,0.06722512200670826,2020-04-22,25.0,36.0,105,63.0,17,22,2,2020-03-09,44
Albania,2886026,0.06722512200670826,2020-04-23,29.0,36.0,105,63.0,17,23,3,2020-03-09,45
Albania,2886026,0.06722512200670826,2020-04-24,15.0,36.0,105,63.0,17,24,4,2020-03-09,46
Albania,2886026,0.06722512200670826,2020-04-25,34.0,36.0,105,63.0,17,25,5,2020-03-09,47
Albania,2886026,0.06722512200670826,2020-04-26,14.0,36.0,105,63.0,17,26,6,2020-03-09,48
Albania,2886026,0.06722512200670826,2020-04-27,10.0,36.0,105,63.0,18,27,0,2020-03-09,49
Albania,2886026,0.06722512200670826,2020-04-28,14.0,36.0,105,63.0,18,28,1,2020-03-09,50
Albania,2886026,0.06722512200670826,2020-04-29,16.0,36.0,105,63.0,18,29,2,2020-03-09,51
Albania,2886026,0.06722512200670826,2020-04-30,7.0,36.0,105,63.0,18,30,3,2020-03-09,52
Albania,2886026,0.06722512200670826,2020-05-01,9.0,36.0,105,63.0,18,1,4,2020-03-09,53
Albania,2886026,0.06722512200670826,2020-05-02,7.0,36.0,105,63.0,18,2,5,2020-03-09,54
Albania,2886026,0.06722512200670826,2020-05-03,6.0,36.0,105,63.0,18,3,6,2020-03-09,55
Albania,2886026,0.06722512200670826,2020-05-04,8.0,36.0,105,63.0,19,4,0,2020-03-09,56
Albania,2886026,0.06722512200670826,2020-05-05,17.0,36.0,105,63.0,19,5,1,2020-03-09,57
Albania,2886026,0.06722512200670826,2020-05-06,12.0,36.0,105,63.0,19,6,2,2020-03-09,58
Albania,2886026,0.06722512200670826,2020-05-07,10.0,36.0,105,63.0,19,7,3,2020-03-09,59
Albania,2886026,0.06722512200670826,2020-05-08,8.0,36.0,105,63.0,19,8,4,2020-03-09,60
Albania,2886026,0.06722512200670826,2020-05-09,6.0,36.0,105,63.0,19,9,5,2020-03-09,61
Albania,2886026,0.06722512200670826,2020-05-10,12.0,36.0,105,63.0,19,10,6,2020-03-09,62
Albania,2886026,0.06722512200670826,2020-05-11,4.0,36.0,105,63.0,20,11,0,2020-03-09,63
Albania,2886026,0.06722512200670826,2020-05-12,4.0,36.0,105,63.0,20,12,1,2020-03-09,64
Albania,2886026,0.06722512200670826,2020-05-13,4.0,36.0,105,63.0,20,13,2,2020-03-09,65
Albania,2886026,0.06722512200670826,2020-05-14,18.0,36.0,105,63.0,20,14,3,2020-03-09,66
Albania,2886026,0.06722512200670826,2020-05-15,18.0,36.0,105,63.0,20,15,4,2020-03-09,67
Albania,2886026,0.06722512200670826,2020-05-16,17.0,36.0,105,63.0,20,16,5,2020-03-09,68
Albania,2886026,0.06722512200670826,2020-05-17,13.0,36.0,105,63.0,20,17,6,2020-03-09,69
Albania,2886026,0.06722512200670826,2020-05-18,2.0,36.0,105,63.0,21,18,0,2020-03-09,70
Albania,2886026,0.06722512200670826,2020-05-19,1.0,36.0,105,63.0,21,19,1,2020-03-09,71
Albania,2886026,0.06722512200670826,2020-05-20,15.0,36.0,105,63.0,21,20,2,2020-03-09,72
Albania,2886026,0.06722512200670826,2020-05-21,5.0,36.0,105,63.0,21,21,3,2020-03-09,73
